tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2024-12-27_United Cup_2025-9900-376,United Cup,Hard,32,A,20241227,2025-9900-376,200282,,,Alex De Minaur,R,183.0,AUS,25.9,144869,,,Tomas Martin Etcheverry,R,196.0,ARG,25.4,6-1 6-4,3,RR,76.0,8.0,2.0,51.0,26.0,23.0,15.0,9.0,0.0,0.0,2.0,1.0,47.0,28.0,20.0,7.0,8.0,3.0,6.0,9.0,39.0
2024-12-27_United Cup_2025-9900-377,United Cup,Hard,32,A,20241227,2025-9900-377,144869,,,Tomas Martin Etcheverry,R,196.0,ARG,25.4,126129,,,Billy Harris,R,193.0,GBR,29.9,3-6 6-3 6-2,3,RR,164.0,10.0,1.0,93.0,61.0,44.0,18.0,13.0,8.0,9.0,9.0,4.0,90.0,50.0,37.0,18.0,13.0,6.0,9.0,39.0,125.0
2024-12-27_United Cup_2025-9900-378,United Cup,Hard,32,A,20241227,2025-9900-378,200282,,,Alex De Minaur,R,183.0,AUS,25.9,126129,,,Billy Harris,R,193.0,GBR,29.9,6-2 6-1,3,RR,76.0,6.0,2.0,40.0,19.0,17.0,13.0,7.0,3.0,3.0,3.0,1.0,56.0,36.0,17.0,9.0,8.0,2.0,7.0,9.0,125.0
2024-12-27_United Cup_2025-9900-379,United Cup,Hard,32,A,20241227,2025-9900-379,100644,,,Alexander Zverev,R,198.0,GER,27.7,106329,,,Thiago Monteiro,L,183.0,BRA,30.6,6-4 6-4,3,RR,77.0,11.0,3.0,51.0,32.0,29.0,11.0,10.0,0.0,0.0,5.0,1.0,53.0,32.0,24.0,11.0,10.0,2.0,4.0,2.0,109.0
2024-12-27_United Cup_2025-9900-380,United Cup,Hard,32,A,20241227,2025-9900-380,111190,,,Zhizhen Zhang,R,193.0,CHN,28.2,106329,,,Thiago Monteiro,L,183.0,BRA,30.6,6-3 6-0,3,RR,54.0,10.0,0.0,39.0,30.0,26.0,7.0,8.0,0.0,0.0,3.0,2.0,35.0,22.0,13.0,3.0,7.0,1.0,5.0,45.0,109.0
2024-12-27_United Cup_2025-9900-381,United Cup,Hard,32,A,20241227,2025-9900-381,100644,,,Alexander Zverev,R,198.0,GER,27.7,111190,,,Zhizhen Zhang,R,193.0,CHN,28.2,2-6 6-0 6-2,3,RR,125.0,6.0,3.0,66.0,47.0,36.0,8.0,11.0,3.0,5.0,3.0,1.0,78.0,48.0,31.0,11.0,11.0,4.0,9.0,2.0,45.0
2024-12-27_United Cup_2025-9900-382,United Cup,Hard,32,A,20241227,2025-9900-382,200005,,,Ugo Humbert,L,188.0,FRA,26.5,208502,,,Dominic Stricker,L,183.0,SUI,22.4,6-3 7-5,3,RR,72.0,10.0,2.0,51.0,34.0,30.0,10.0,11.0,0.0,1.0,10.0,1.0,56.0,34.0,27.0,10.0,10.0,1.0,4.0,14.0,300.0
2024-12-27_United Cup_2025-9900-383,United Cup,Hard,32,A,20241227,2025-9900-383,207925,,,Flavio Cobolli,R,183.0,ITA,22.6,208502,,,Dominic Stricker,L,183.0,SUI,22.4,6-3 7-6(2),3,RR,89.0,5.0,3.0,67.0,36.0,27.0,22.0,10.0,5.0,5.0,6.0,0.0,62.0,45.0,33.0,7.0,11.0,0.0,2.0,32.0,300.0
2024-12-27_United Cup_2025-9900-384,United Cup,Hard,32,A,20241227,2025-9900-384,207925,,,Flavio Cobolli,R,183.0,ITA,22.6,200005,,,Ugo Humbert,L,188.0,FRA,26.5,3-6 7-6(8) 6-2,3,RR,126.0,11.0,0.0,89.0,57.0,41.0,21.0,14.0,2.0,4.0,10.0,2.0,83.0,46.0,36.0,24.0,15.0,1.0,4.0,32.0,14.0
2024-12-27_United Cup_2025-9900-385,United Cup,Hard,32,A,20241227,2025-9900-385,105807,,,Pablo Carreno Busta,R,188.0,ESP,33.5,207686,,,Alexander Shevchenko,R,185.0,KAZ,24.1,6-2 6-1,3,RR,64.0,3.0,0.0,40.0,27.0,21.0,9.0,8.0,1.0,2.0,3.0,4.0,42.0,24.0,14.0,4.0,7.0,2.0,7.0,196.0,78.0
