AllDataScore,Score2025,base_k_factor,max_k_factor
0.6498495222697301,0.6405100539480137,45,76
0.6530830890302222,0.6488474742520843,41,56
0.6477749749203783,0.6410004904364884,22,86
0.6498495222697301,0.6405100539480137,45,76
0.6472490333388524,0.6414909269249632,49,94
0.6515831815569819,0.6483570377636096,20,65
0.6528688165340449,0.6488474742520843,30,54
0.6484567510445784,0.6419813634134379,10,82
0.6506092156652674,0.6449239823442864,24,70
0.6514370866732248,0.6488474742520843,2,58
0.6544563809375396,0.6498283472290338,47,52
0.6492554030757843,0.6395291809710643,33,77
0.6519727679136677,0.6459048553212359,45,66
0.648700242517507,0.6419813634134379,24,80
0.6496936877270558,0.6429622363903874,5,72
0.6478041938971297,0.6410004904364884,25,86
0.64916774614553,0.6405100539480137,40,78
0.6498300429518958,0.6405100539480137,44,76
0.6486418045640042,0.640019617459539,2,78
0.6526350647200335,0.6493379107405591,35,56
0.6507358312311903,0.6473761647866602,1,66
0.6487294614942585,0.6419813634134379,46,82
0.6487392011531756,0.6414909269249632,9,79
0.6473269506101896,0.6414909269249632,45,92
0.6520019868904191,0.6463952918097107,32,63
0.6473074712923553,0.6405100539480137,32,89
0.6527227216502878,0.6503187837175086,29,59
0.6493917583006243,0.6410004904364884,3,74
0.649567072161133,0.640019617459539,9,75
0.647151636749681,0.6414909269249632,41,93
0.6526350647200335,0.6478666012751348,36,61
0.6525084491541107,0.6463952918097107,42,63
0.6472782523156039,0.6395291809710643,1,87
0.647424347199361,0.640019617459539,38,89
0.6520799041617562,0.6508092202059833,15,59
0.6520701645028391,0.6463952918097107,24,62
0.648700242517507,0.6414909269249632,26,79
0.6470639798194268,0.6419813634134379,35,94
0.6496352497735529,0.6405100539480137,29,76
0.6477457559436268,0.6405100539480137,33,87
0.6539206996970967,0.6488474742520843,44,53
0.6520019868904191,0.6459048553212359,34,65
0.6475022644706983,0.6405100539480137,23,87
0.650248848285333,0.6429622363903874,33,72
0.6488463374012642,0.6414909269249632,37,79
0.6468204883464981,0.6424717999019127,30,95
0.6483593544554069,0.640019617459539,46,84
0.654485599914291,0.6488474742520843,43,51
0.6517584954174904,0.6473761647866602,15,61
0.6461484518812152,0.6405100539480137,1,95
0.6539304393560138,0.6503187837175086,37,52
0.6465185589200666,0.6414909269249632,46,97
0.646878926300001,0.6385483079941148,1,89
0.6522065197276792,0.6468857282981854,27,62
0.6504046828280073,0.6429622363903874,32,71
0.6517097971229048,0.6508092202059833,14,55
0.6493820186417072,0.6410004904364884,46,78
0.6486807631996727,0.6414909269249632,27,79
0.6511935952002961,0.6468857282981854,7,63
0.6479405491219697,0.6405100539480137,26,84
0.6523623542703535,0.6459048553212359,45,64
0.6485346683159156,0.640019617459539,40,83
0.6521188627974248,0.6459048553212359,27,63
0.6469178849356696,0.6405100539480137,8,91
0.6467717900519124,0.6390387444825895,7,90
0.6477944542382126,0.6410004904364884,33,86
0.654953103542314,0.6478666012751348,45,50
0.6511643762235446,0.6468857282981854,24,67
0.6531220476658908,0.6483570377636096,21,51
0.6524792301773592,0.6498283472290338,17,52
0.6534239770923223,0.6498283472290338,39,54
0.6500832740837416,0.6419813634134379,34,73
0.6514176073553904,0.6493379107405591,0,56
0.6490119116028557,0.6419813634134379,47,80
0.6513396900840532,0.6444335458558117,48,70
0.6520799041617562,0.6463952918097107,34,64
0.651524743603479,0.6468857282981854,6,61
0.6535505926582451,0.6488474742520843,29,51
0.6494988945487129,0.640019617459539,25,76
0.6521383421152591,0.6463952918097107,39,65
0.6517682350764076,0.6503187837175086,0,52
0.6468010090286638,0.6414909269249632,38,96
0.6459049604082865,0.63805787150564,5,98
0.6488950356958499,0.640019617459539,0,77
0.651524743603479,0.6478666012751348,18,65
0.6527032423324535,0.6498283472290338,32,58
0.6498495222697301,0.6429622363903874,9,72
0.652537668130862,0.6512996566944581,25,59
0.6486710235407556,0.6419813634134379,14,80
0.6470250211837582,0.6410004904364884,38,92
0.6533850184566536,0.6498283472290338,47,59
0.6522065197276792,0.6463952918097107,35,63
0.6487586804710099,0.6424717999019127,42,80
0.652060424843922,0.6498283472290338,18,60
0.6463822036952266,0.6390387444825895,38,98
0.6486905028585899,0.6419813634134379,6,79
0.6522454783633477,0.6454144188327612,45,65
0.6502585879442502,0.6459048553212359,2,68
0.6464211623308952,0.6410004904364884,10,95
0.6514078676964733,0.6468857282981854,29,66
